label,ID,Method,Related entities,Ignore,Exclude
pes,UBERON:0002387,locality,,,
calcareous tooth,UBERON:0001091,locality,,,
molar tooth,UBERON:0003655,locality,,,
premolar tooth,UBERON:0007120,locality,,,
secondary dentition,UBERON:0007774,locality,,,
premolar tooth 4,UBERON:0018647,locality,,,
upper jaw region,UBERON:0001709,locality,,,
lower jaw region,UBERON:0001710,locality,,,
head of femur,UBERON:0006767,locality,,,
proximal head of humerus,UBERON:0006801,locality,,,
ventral tubercle of humerus,UBERON:0011187,locality,,,
anatomical line,UBERON:0006800,locality,,,
medial condyle of femur,UBERON:0009984,locality,,,
greater trochanter,UBERON:0002503,locality,,,
trochlea of humerus,UBERON:0000144,locality,,,
intertragic incisure,UBERON:0036212,locality,,,
ear,UBERON:0001690,locality,,,
helix of outer ear,UBERON:0002488,locality,,,
secondary canine tooth,UBERON:0018584,locality,,,
proximal head of humerus,UBERON_0006801,locality,,,
greater trochanter,UBERON_0002503,locality,,,
lesser tubercle of humerus,UBERON:0011188,locality,,,
